arquivo;frase
./origem/partes/parte_0001.mp4;Thank you for watching.
./origem/partes/parte_0002.mp4;Thank you for watching.
./origem/partes/parte_0003.mp4;What changed my life wasn't a day, but a night.
./origem/partes/parte_0004.mp4;It was Halloween night.
./origem/partes/parte_0005.mp4;I was Buffalo Bob, and I had the real cowhide vest.
./origem/partes/parte_0006.mp4;It was 1960, and I lived in Holden, Kentucky.
./origem/partes/parte_0007.mp4;I loved Zagnut bars, and my sister Ellen loved Baby Ruth bars.
./origem/partes/parte_0008.mp4;My brother Tugga loved everything.
./origem/partes/parte_0009.mp4;I don't love Halloween anymore.
./origem/partes/parte_0010.mp4;It was the night my mom, my brother, and my sister was murdered with a hammer.
./origem/partes/parte_0011.mp4;I remember the blood smelled like pennies.
./origem/partes/parte_0012.mp4;I remember the blood smelled like pennies.
./origem/partes/parte_0013.mp4;I remember the blood smelled like pennies.
./origem/partes/parte_0014.mp4;My father killed everyone but me.
./origem/partes/parte_0015.mp4;I don't like to remember it, but I can't forget it.
./origem/partes/parte_0016.mp4;The end.
./origem/partes/parte_0017.mp4;The end.
./origem/partes/parte_0018.mp4;I know it isn't very long.
./origem/partes/parte_0020.mp4;Harry, that's a powerful story.
./origem/partes/parte_0021.mp4;Thank you for sharing that with us.
./origem/partes/parte_0022.mp4;And why was this good?
./origem/partes/parte_0023.mp4;Because when we heard it, we knew him.
./origem/partes/parte_0024.mp4;It was honest.
./origem/partes/parte_0025.mp4;What Harry wrote was very painful.
./origem/partes/parte_0026.mp4;The truth probably made us all feel a little uncomfortable.
./origem/partes/parte_0027.mp4;Because of that, it was...
./origem/partes/parte_0029.mp4;It was very powerful.
./origem/partes/parte_0030.mp4;Let me see that.
./origem/partes/parte_0031.mp4;Boom.
./origem/partes/parte_0032.mp4;Harry, hey.
./origem/partes/parte_0033.mp4;Tell us. Tell us something.
./origem/partes/parte_0034.mp4;Never got an A-plus before.
./origem/partes/parte_0035.mp4;Well, congratulations.
./origem/partes/parte_0036.mp4;Can I ask you a question?
./origem/partes/parte_0037.mp4;Yeah.
./origem/partes/parte_0038.mp4;I'm going for a promotion.
./origem/partes/parte_0039.mp4;Can you write a letter to the principal?
./origem/partes/parte_0040.mp4;Only if you promise to give me a raise as soon as you're running this place.
./origem/partes/parte_0041.mp4;Yeah.
./origem/partes/parte_0042.mp4;All right.
./origem/partes/parte_0043.mp4;See ya.
./origem/partes/parte_0044.mp4;Bye.
./origem/partes/parte_0045.mp4;It's not a Pilates class in the world
./origem/partes/parte_0046.mp4;that's gonna help you if you keep eating like that.
./origem/partes/parte_0047.mp4;Thanks for worrying about my ass.
./origem/partes/parte_0048.mp4;Why don't you put a diet burger on the menu?
./origem/partes/parte_0049.mp4;I do make a diet burger.
./origem/partes/parte_0050.mp4;It's called a salad.
./origem/partes/parte_0051.mp4;Where?
./origem/partes/parte_0052.mp4;His eyes were like two round, blue circles
./origem/partes/parte_0053.mp4;with another black circle in the middle.
./origem/partes/parte_0054.mp4;Well, you know, every once in a while,
./origem/partes/parte_0055.mp4;you get a young Ernest Hemingway, don't you?
./origem/partes/parte_0056.mp4;Every once in a while, someone gives me a $10 tip.
./origem/partes/parte_0057.mp4;Hmm.
./origem/partes/parte_0058.mp4;We both have a lot to look forward to.
./origem/partes/parte_0059.mp4;Hey, Christy.
./origem/partes/parte_0060.mp4;Hi.
./origem/partes/parte_0061.mp4;How are you?
./origem/partes/parte_0062.mp4;You look good.
./origem/partes/parte_0063.mp4;Thank you, Al.
./origem/partes/parte_0064.mp4;Want a bite?
./origem/partes/parte_0065.mp4;It's $1.25.
./origem/partes/parte_0066.mp4;That can't be real beef.
./origem/partes/parte_0067.mp4;You're missing out.
./origem/partes/parte_0068.mp4;I wrote to Helene when I heard about your dad.
./origem/partes/parte_0069.mp4;Did you get a chance to talk to him before?
./origem/partes/parte_0070.mp4;He died when I was on the plane to see him.
./origem/partes/parte_0071.mp4;I'm sorry.
./origem/partes/parte_0072.mp4;There's three sets to sign.
./origem/partes/parte_0073.mp4;One for you.
./origem/partes/parte_0074.mp4;One for me.
./origem/partes/parte_0075.mp4;One for the lawyer.
./origem/partes/parte_0076.mp4;Need a pen?
./origem/partes/parte_0077.mp4;I signed already.
./origem/partes/parte_0078.mp4;Great.
./origem/partes/parte_0079.mp4;Always prepared.
./origem/partes/parte_0080.mp4;You doing any writing these days?
./origem/partes/parte_0081.mp4;Nope.
./origem/partes/parte_0082.mp4;I always loved your writing.
./origem/partes/parte_0083.mp4;There you go.
./origem/partes/parte_0084.mp4;Believe it or not, I'm not.
./origem/partes/parte_0085.mp4;I wish you all the best.
./origem/partes/parte_0086.mp4;Christy.
./origem/partes/parte_0087.mp4;I wish you the best, too.
./origem/partes/parte_0088.mp4;Al?
./origem/partes/parte_0089.mp4;Get out of here.
./origem/partes/parte_0090.mp4;Al, you all right?
./origem/partes/parte_0091.mp4;Just go home.
./origem/partes/parte_0092.mp4;You OK?
./origem/partes/parte_0093.mp4;Jesus Christ.
./origem/partes/parte_0094.mp4;What happened to you?
./origem/partes/parte_0095.mp4;I'm fine.
./origem/partes/parte_0096.mp4;You're not fine.
./origem/partes/parte_0097.mp4;You look like crap.
./origem/partes/parte_0098.mp4;Go on.
./origem/partes/parte_0099.mp4;What the hell's going on?
./origem/partes/parte_0100.mp4;What happened to you?
./origem/partes/parte_0101.mp4;Oh, shit.
./origem/partes/parte_0102.mp4;Ow.
./origem/partes/parte_0103.mp4;Ow.
./origem/partes/parte_0104.mp4;Ow.
./origem/partes/parte_0105.mp4;Ow.
./origem/partes/parte_0106.mp4;Ow.
./origem/partes/parte_0107.mp4;Ow.
./origem/partes/parte_0108.mp4;Ow.
./origem/partes/parte_0109.mp4;Ow.
./origem/partes/parte_0110.mp4;Ow.
./origem/partes/parte_0111.mp4;Ow.
./origem/partes/parte_0112.mp4;Ow.
./origem/partes/parte_0113.mp4;Ow.
./origem/partes/parte_0114.mp4;Ow.
./origem/partes/parte_0115.mp4;Ow.
./origem/partes/parte_0116.mp4;Ow.
./origem/partes/parte_0117.mp4;Ow.
./origem/partes/parte_0118.mp4;Ow.
./origem/partes/parte_0119.mp4;Ow.
./origem/partes/parte_0120.mp4;Ow.
./origem/partes/parte_0121.mp4;Ow.
./origem/partes/parte_0122.mp4;Ow.
./origem/partes/parte_0123.mp4;Ow.
./origem/partes/parte_0124.mp4;Ow.
./origem/partes/parte_0125.mp4;Ow.
./origem/partes/parte_0126.mp4;Ow.
./origem/partes/parte_0127.mp4;Ow.
./origem/partes/parte_0128.mp4;Ow.
./origem/partes/parte_0129.mp4;Ow.
./origem/partes/parte_0130.mp4;Ow.
./origem/partes/parte_0131.mp4;Ow.
./origem/partes/parte_0132.mp4;Ow.
./origem/partes/parte_0133.mp4;Huff.
./origem/partes/parte_0134.mp4;Ah.
./origem/partes/parte_0135.mp4;Ah.
./origem/partes/parte_0136.mp4;onu.
./origem/partes/parte_0137.mp4;physicist.
./origem/partes/parte_0138.mp4;Go away, ker-ko.
./origem/partes/parte_0139.mp4;SPEAKER 3 In Hook's questo!
./origem/partes/parte_0140.mp4;Matteo Pirac.
./origem/partes/parte_0141.mp4;Incorrect.
./origem/partes/parte_0142.mp4;AL Watkins.
./origem/partes/parte_0143.mp4;You sound fine.
./origem/partes/parte_0144.mp4;Now, you want to tell me what the fuck is going on?
./origem/partes/parte_0145.mp4;Aaron, what's going on is cancer.
./origem/partes/parte_0146.mp4;Al, you got cancer in five minutes?
./origem/partes/parte_0147.mp4;Oh, I'm tired.
./origem/partes/parte_0148.mp4;Do me a favor.
./origem/partes/parte_0149.mp4;Close the door on your way out.
./origem/partes/parte_0150.mp4;Come over tomorrow.
./origem/partes/parte_0151.mp4;I'll explain.
./origem/partes/parte_0152.mp4;I'll explain everything.
./origem/partes/parte_0153.mp4;Go home.
./origem/partes/parte_0154.mp4;In the 1930s, researchers began experimenting with a number of so-called shock therapies
./origem/partes/parte_0155.mp4;meant to reroute the circuitry in the diseased brain.
./origem/partes/parte_0156.mp4;Patients were diagnosed with cancer.
./origem/partes/parte_0157.mp4;Patients were diagnosed with cancer.
./origem/partes/parte_0158.mp4;Patients were brought to the age of death through an intentional overdose of the hormone insulin.
./origem/partes/parte_0159.mp4;Others were given metronome, which triggered seizures.
./origem/partes/parte_0161.mp4;Why do we think the filmmakers chose to document these conditions?
./origem/partes/parte_0162.mp4;If you look at the patients' writings after this, they...
./origem/partes/parte_0163.mp4;People tend to think the important stories are wars, elections, political movements.
./origem/partes/parte_0164.mp4;But these people matter.
./origem/partes/parte_0165.mp4;Little things matter.
./origem/partes/parte_0166.mp4;All right, see you tomorrow. Bye, Jerry.
./origem/partes/parte_0170.mp4;What's holding your attention on this little screen?
./origem/partes/parte_0173.mp4;I could send you the clip if you want.
./origem/partes/parte_0174.mp4;No, we'd do that.
./origem/partes/parte_0175.mp4;All right, here we are.
./origem/partes/parte_0176.mp4;Ahem.
./origem/partes/parte_0177.mp4;How long have we known each other?
./origem/partes/parte_0178.mp4;10, 12 years.
./origem/partes/parte_0179.mp4;Yeah.
./origem/partes/parte_0181.mp4;You trust me?
./origem/partes/parte_0182.mp4;Not really.
./origem/partes/parte_0183.mp4;I'm gonna tell you something that's gonna seem crazy.
./origem/partes/parte_0184.mp4;Okay.
./origem/partes/parte_0185.mp4;But, uh, before I do,
./origem/partes/parte_0186.mp4;I need you to go in this closet.
./origem/partes/parte_0187.mp4;Just go in there and take a look around.
./origem/partes/parte_0188.mp4;Stay as long as you need.
./origem/partes/parte_0189.mp4;And then come back.
./origem/partes/parte_0190.mp4;Then I'll tell you everything.
./origem/partes/parte_0191.mp4;You want me to go in the closet, look around, spend as much time as I need?
./origem/partes/parte_0192.mp4;I know I sound batshit, okay?
./origem/partes/parte_0194.mp4;But I thought about this, and it'll just be simpler if you go in like I'm asking.
./origem/partes/parte_0195.mp4;Go in the closet.
./origem/partes/parte_0196.mp4;Can you do me a goddamn favor and just walk into the fucking closets?
./origem/partes/parte_0198.mp4;I'm going, okay? Relax.
./origem/partes/parte_0199.mp4;All right, go in the closets.
./origem/partes/parte_0200.mp4;Better not be any spiders in here.
./origem/partes/parte_0201.mp4;Take a few steps forward.
./origem/partes/parte_0202.mp4;Yeah.
./origem/partes/parte_0203.mp4;If I feel any cobwebs on my face...
./origem/partes/parte_0204.mp4;Just keep on.
./origem/partes/parte_0205.mp4;I can't see anything.
